x1 x2 x3 x4
0.28345914 0.23668066 0.23240629 0.24745391
0.28343762 0.23672355 0.23237731 0.24746152
0.28341584 0.23676655 0.23234846 0.24746916
0.28339380 0.23680965 0.23231975 0.24747681
0.28337150 0.23685285 0.23229117 0.24748448
0.28334894 0.23689616 0.23226273 0.24749217
0.28332612 0.23693957 0.23223442 0.24749989
0.28330305 0.23698309 0.23220625 0.24750762
0.28327972 0.23702671 0.23217821 0.24751537
0.28325613 0.23707044 0.23215030 0.24752314
0.28323228 0.23711426 0.23212253 0.24753092
0.28320818 0.23715819 0.23209490 0.24753873
0.28318382 0.23720223 0.23206740 0.24754656
0.28315920 0.23724636 0.23204003 0.24755441
0.28313433 0.23729060 0.23201281 0.24756227
0.28310920 0.23733494 0.23198571 0.24757015
0.28308381 0.23737938 0.23195876 0.24757806
0.28305817 0.23742392 0.23193194 0.24758598
0.28303227 0.23746856 0.23190526 0.24759392
0.28300612 0.23751330 0.23187871 0.24760187
0.28297971 0.23755814 0.23185230 0.24760985
0.28295304 0.23760309 0.23182603 0.24761784
0.28292613 0.23764813 0.23179989 0.24762586
0.28289895 0.23769327 0.23177389 0.24763389
0.28287153 0.23773851 0.23174803 0.24764194
0.28284384 0.23778384 0.23172230 0.24765001
0.28281591 0.23782928 0.23169672 0.24765809
0.28278772 0.23787482 0.23167127 0.24766620
0.28275928 0.23792045 0.23164596 0.24767432
0.28273058 0.23796618 0.23162078 0.24768246
0.28270163 0.23801200 0.23159575 0.24769061
0.28267243 0.23805793 0.23157085 0.24769879
0.28264298 0.23810395 0.23154609 0.24770698
0.28261327 0.23815006 0.23152147 0.24771519
0.28258331 0.23819627 0.23149699 0.24772342
0.28255310 0.23824258 0.23147265 0.24773166
0.28252264 0.23828898 0.23144845 0.24773993
0.28249193 0.23833548 0.23142438 0.24774820
0.28246097 0.23838207 0.23140046 0.24775650
0.28242975 0.23842876 0.23137667 0.24776482
0.28239829 0.23847554 0.23135303 0.24777315
0.28236657 0.23852242 0.23132952 0.24778149
0.28233460 0.23856938 0.23130615 0.24778986
0.28230239 0.23861644 0.23128293 0.24779824
0.28226992 0.23866360 0.23125984 0.24780664
0.28223721 0.23871084 0.23123690 0.24781505
0.28220425 0.23875818 0.23121409 0.24782348
0.28217103 0.23880561 0.23119142 0.24783193
0.28213757 0.23885313 0.23116890 0.24784040
0.28210387 0.23890074 0.23114652 0.24784888
0.28206991 0.23894844 0.23112427 0.24785738
0.28203570 0.23899624 0.23110217 0.24786589
0.28200125 0.23904412 0.23108021 0.24787442
0.28196655 0.23909209 0.23105839 0.24788296
0.28193161 0.23914016 0.23103671 0.24789153
0.28189642 0.23918831 0.23101517 0.24790010
0.28186098 0.23923655 0.23099378 0.24790870
0.28182529 0.23928488 0.23097252 0.24791731
0.28178936 0.23933329 0.23095141 0.24792593
0.28175319 0.23938180 0.23093044 0.24793457
0.28171677 0.23943039 0.23090962 0.24794323
0.28168010 0.23947907 0.23088893 0.24795190
0.28164319 0.23952784 0.23086839 0.24796059
0.28160604 0.23957669 0.23084799 0.24796929
0.28156864 0.23962563 0.23082773 0.24797801
0.28153099 0.23967465 0.23080761 0.24798674
0.28149311 0.23972376 0.23078764 0.24799549
0.28145498 0.23977296 0.23076781 0.24800425
0.28141661 0.23982224 0.23074812 0.24801303
0.28137799 0.23987160 0.23072858 0.24802183
0.28133914 0.23992105 0.23070918 0.24803063
0.28130004 0.23997058 0.23068992 0.24803946
0.28126070 0.24002020 0.23067081 0.24804829
0.28122112 0.24006990 0.23065184 0.24805715
0.28118130 0.24011968 0.23063301 0.24806601
0.28114123 0.24016955 0.23061433 0.24807489
0.28110093 0.24021949 0.23059579 0.24808379
0.28106039 0.24026952 0.23057739 0.24809270
0.28101961 0.24031963 0.23055914 0.24810162
0.28097858 0.24036982 0.23054103 0.24811056
0.28093732 0.24042009 0.23052307 0.24811951
0.28089582 0.24047044 0.23050525 0.24812848
0.28085409 0.24052088 0.23048758 0.24813746
0.28081211 0.24057139 0.23047005 0.24814645
0.28076989 0.24062198 0.23045267 0.24815546
0.28072744 0.24067265 0.23043543 0.24816448
0.28068476 0.24072340 0.23041833 0.24817352
0.28064183 0.24077422 0.23040138 0.24818257
0.28059867 0.24082513 0.23038458 0.24819163
0.28055527 0.24087611 0.23036792 0.24820070
0.28051164 0.24092717 0.23035140 0.24820979
0.28046777 0.24097830 0.23033503 0.24821890
0.28042366 0.24102952 0.23031881 0.24822801
0.28037933 0.24108080 0.23030273 0.24823714
0.28033475 0.24113217 0.23028680 0.24824628
0.28028995 0.24118361 0.23027101 0.24825543
0.28024491 0.24123512 0.23025537 0.24826460
0.28019963 0.24128671 0.23023988 0.24827378
0.28015412 0.24133837 0.23022453 0.24828297
0.28010838 0.24139011 0.23020932 0.24829218
0.28006241 0.24144192 0.23019427 0.24830140
0.28001621 0.24149381 0.23017936 0.24831063
0.27996977 0.24154577 0.23016459 0.24831987
0.27992311 0.24159780 0.23014997 0.24832912
0.27987621 0.24164990 0.23013550 0.24833839
0.27982908 0.24170207 0.23012118 0.24834767
0.27978173 0.24175432 0.23010700 0.24835696
0.27973414 0.24180663 0.23009296 0.24836627
0.27968632 0.24185902 0.23007908 0.24837558
0.27963828 0.24191148 0.23006534 0.24838491
0.27959000 0.24196400 0.23005175 0.24839425
0.27954150 0.24201660 0.23003830 0.24840360
0.27949277 0.24206926 0.23002501 0.24841296
0.27944381 0.24212200 0.23001186 0.24842233
0.27939462 0.24217480 0.22999885 0.24843172
0.27934521 0.24222767 0.22998600 0.24844112
0.27929557 0.24228061 0.22997329 0.24845052
0.27924571 0.24233362 0.22996073 0.24845994
0.27919562 0.24238669 0.22994832 0.24846937
0.27914531 0.24243983 0.22993605 0.24847881
0.27909477 0.24249304 0.22992393 0.24848827
0.27904400 0.24254631 0.22991196 0.24849773
0.27899302 0.24259964 0.22990014 0.24850720
0.27894180 0.24265305 0.22988846 0.24851669
0.27889037 0.24270651 0.22987694 0.24852618
0.27883871 0.24276004 0.22986556 0.24853569
0.27878683 0.24281364 0.22985432 0.24854521
0.27873473 0.24286730 0.22984324 0.24855473
0.27868241 0.24292102 0.22983231 0.24856427
0.27862986 0.24297480 0.22982152 0.24857382
0.27857710 0.24302865 0.22981088 0.24858337
0.27852411 0.24308256 0.22980039 0.24859294
0.27847090 0.24313653 0.22979005 0.24860252
0.27841748 0.24319056 0.22977986 0.24861211
0.27836383 0.24324465 0.22976981 0.24862170
0.27830997 0.24329880 0.22975991 0.24863131
0.27825589 0.24335302 0.22975017 0.24864093
0.27820159 0.24340729 0.22974057 0.24865056
0.27814707 0.24346162 0.22973112 0.24866019
0.27809234 0.24351601 0.22972182 0.24866984
0.27803739 0.24357046 0.22971266 0.24867949
0.27798222 0.24362497 0.22970366 0.24868916
0.27792683 0.24367953 0.22969480 0.24869883
0.27787124 0.24373415 0.22968610 0.24870851
0.27781542 0.24378883 0.22967754 0.24871821
0.27775940 0.24384357 0.22966913 0.24872791
0.27770315 0.24389836 0.22966087 0.24873762
0.27764670 0.24395321 0.22965276 0.24874733
0.27759003 0.24400811 0.22964480 0.24875706
0.27753315 0.24406307 0.22963699 0.24876680
0.27747605 0.24411808 0.22962933 0.24877654
0.27741875 0.24417315 0.22962181 0.24878629
0.27736123 0.24422826 0.22961445 0.24879606
0.27730350 0.24428344 0.22960723 0.24880583
0.27724556 0.24433866 0.22960017 0.24881560
0.27718741 0.24439394 0.22959325 0.24882539
0.27712905 0.24444927 0.22958649 0.24883518
0.27707049 0.24450466 0.22957987 0.24884499
0.27701171 0.24456009 0.22957340 0.24885480
0.27695272 0.24461557 0.22956709 0.24886462
0.27689353 0.24467111 0.22956092 0.24887444
0.27683413 0.24472670 0.22955490 0.24888427
0.27677452 0.24478233 0.22954903 0.24889412
0.27671471 0.24483801 0.22954331 0.24890396
